iter	Passed	Remaining
0	47	47290
1	47	23808
2	48	16029
3	48	12073
4	48	9710
5	49	8135
6	49	7019
7	49	6182
8	50	5532
9	50	5002
10	50	4568
11	51	4206
12	51	3898
13	51	3642
14	51	3413
15	52	3214
16	52	3038
17	52	2885
18	53	2756
19	53	2631
20	54	2518
21	54	2416
22	54	2321
23	54	2233
24	55	2152
25	55	2078
26	56	2048
27	57	1986
28	57	1924
29	57	1867
30	58	1813
31	58	1764
32	58	1717
33	58	1673
34	59	1630
35	59	1591
36	59	1554
37	60	1519
38	60	1486
39	60	1454
40	60	1424
41	61	1395
42	61	1369
43	61	1343
44	62	1319
45	62	1296
46	62	1274
47	63	1253
48	63	1232
49	63	1212
50	64	1193
51	64	1175
52	64	1157
53	65	1140
54	65	1123
55	65	1107
56	66	1091
57	66	1076
58	66	1061
59	66	1046
60	67	1032
61	67	1019
62	67	1006
63	67	993
64	68	980
65	68	968
66	68	957
67	69	946
68	69	935
69	69	925
70	69	914
71	70	904
72	70	895
73	70	885
74	71	876
75	71	867
76	71	858
77	71	849
78	72	840
79	72	833
80	72	825
81	73	817
82	73	808
83	73	800
84	73	793
85	74	786
86	74	779
87	74	773
88	74	766
89	75	760
90	75	753
91	75	748
92	76	742
93	76	736
94	76	730
95	76	724
96	77	718
97	77	712
98	77	706
99	77	701
100	78	695
101	78	690
102	78	685
103	78	680
104	79	675
105	79	670
106	79	666
107	80	661
108	80	657
109	80	653
110	81	649
111	81	645
112	81	641
113	81	636
114	82	633
115	82	630
116	82	625
117	83	621
118	83	617
119	83	613
120	83	609
121	84	605
122	84	601
123	84	598
124	85	595
125	85	592
126	85	588
127	85	585
128	86	582
129	86	578
130	86	575
131	87	572
132	87	569
133	87	566
134	87	562
135	88	559
136	88	556
137	88	553
138	88	551
139	89	547
140	89	545
141	89	542
142	90	539
143	90	537
144	90	534
145	90	531
146	91	529
147	91	526
148	91	523
149	91	521
150	92	518
151	92	516
152	92	513
153	93	511
154	93	508
155	93	506
156	93	503
157	94	501
158	94	499
159	94	497
160	94	494
161	95	492
162	95	490
163	95	488
164	96	486
165	96	483
166	96	481
167	96	479
168	97	477
169	97	475
170	97	474
171	98	472
172	98	470
173	98	468
174	98	466
175	99	464
176	99	462
177	99	460
178	100	459
179	100	457
180	100	455
181	100	453
182	101	452
183	101	450
184	101	448
185	102	446
186	102	444
187	102	443
188	102	441
189	103	439
190	103	437
191	103	436
192	103	434
193	104	433
194	104	431
195	104	430
196	105	428
197	105	427
198	105	425
199	106	424
200	106	423
201	106	422
202	107	420
203	107	419
204	107	417
205	108	416
206	108	415
207	108	413
208	108	412
209	109	410
210	109	409
211	109	407
212	109	406
213	110	405
214	110	403
215	110	402
216	111	401
217	111	400
218	111	399
219	112	397
220	112	396
221	112	395
222	113	394
223	113	392
224	114	393
225	114	392
226	114	391
227	115	389
228	115	388
229	115	387
230	115	386
231	116	384
232	116	383
233	116	382
234	117	381
235	117	380
236	117	378
237	117	377
238	118	376
239	118	375
240	118	374
241	119	373
242	119	372
243	119	371
244	120	370
245	120	368
246	120	367
247	120	366
248	121	365
249	121	364
250	121	363
251	122	362
252	122	361
253	122	360
254	122	358
255	123	357
256	123	356
257	123	355
258	124	354
259	124	353
260	124	352
261	124	351
262	125	350
263	125	349
264	125	348
265	125	347
266	126	346
267	126	345
268	126	344
269	127	343
270	127	342
271	127	341
272	127	340
273	128	339
274	128	338
275	128	337
276	129	336
277	129	335
278	129	334
279	129	333
280	130	332
281	130	332
282	130	331
283	130	329
284	131	329
285	131	328
286	131	327
287	132	326
288	132	325
289	132	324
290	132	323
291	133	322
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	134	317
298	135	316
299	135	316
300	135	315
301	136	314
302	136	313
303	136	312
304	136	311
305	137	311
306	137	310
307	137	309
308	137	308
309	138	307
310	138	306
311	138	305
312	138	305
313	139	304
314	139	303
315	139	302
316	140	302
317	140	301
318	140	300
319	141	300
320	141	299
321	141	298
322	142	298
323	142	297
324	142	296
325	143	295
326	143	294
327	143	294
328	143	293
329	144	292
330	144	291
331	144	291
332	145	290
333	145	289
334	145	288
335	145	288
336	146	287
337	146	286
338	146	285
339	147	286
340	147	285
341	147	284
342	148	284
343	148	283
344	148	282
345	149	282
346	149	281
347	149	280
348	150	279
349	151	282
350	152	281
351	152	280
352	152	280
353	153	279
354	153	278
355	153	278
356	154	277
357	154	276
358	154	276
359	155	275
360	155	274
361	155	274
362	156	274
363	156	273
364	157	273
365	157	272
366	157	271
367	157	271
368	158	270
369	158	269
370	158	269
371	159	268
372	159	267
373	159	267
374	159	266
375	160	265
376	160	265
377	160	264
378	161	264
379	161	263
380	161	262
381	162	262
382	162	261
383	162	260
384	162	260
385	163	259
386	163	258
387	163	258
388	163	257
389	164	256
390	164	256
391	164	255
392	165	255
393	165	254
394	165	253
395	166	253
396	166	252
397	166	252
398	166	251
399	167	250
400	167	250
401	167	249
402	168	248
403	168	248
404	168	247
405	168	247
406	169	246
407	169	245
408	169	245
409	170	244
410	170	244
411	170	243
412	171	243
413	171	242
414	171	242
415	172	241
416	172	240
417	172	240
418	172	239
419	173	239
420	173	238
421	173	238
422	174	237
423	174	236
424	174	236
425	174	235
426	175	235
427	175	234
428	175	233
429	176	233
430	176	232
431	176	232
432	176	231
433	177	230
434	177	230
435	177	229
436	177	229
437	178	228
438	178	228
439	178	227
440	179	226
441	179	226
442	179	225
443	179	225
444	180	224
445	180	224
446	180	223
447	180	222
448	181	222
449	181	221
450	181	221
451	182	220
452	182	220
453	182	219
454	183	219
455	183	218
456	183	218
457	183	217
458	184	217
459	184	216
460	184	216
461	185	215
462	185	214
463	185	214
464	185	213
465	186	213
466	186	212
467	186	212
468	186	211
469	187	211
470	187	210
471	187	210
472	188	209
473	188	209
474	188	208
475	188	208
476	189	207
477	189	207
478	189	206
479	190	206
480	190	205
481	190	205
482	191	204
483	191	204
484	191	203
485	192	203
486	192	202
487	193	202
488	193	202
489	193	201
490	193	201
491	194	200
492	194	200
493	194	199
494	195	199
495	195	198
496	195	198
497	195	197
498	196	197
499	196	196
500	196	196
501	197	195
502	198	195
503	198	195
504	199	195
505	199	194
506	199	194
507	200	193
508	200	193
509	200	192
510	200	192
511	201	191
512	201	191
513	201	190
514	202	190
515	202	189
516	202	189
517	203	188
518	203	188
519	203	188
520	204	187
521	204	187
522	204	186
523	205	186
524	205	185
525	205	185
526	206	184
527	206	184
528	206	184
529	206	183
530	207	183
531	207	182
532	207	182
533	208	181
534	208	181
535	208	180
536	209	180
537	209	179
538	209	179
539	209	178
540	210	178
541	210	177
542	210	177
543	211	176
544	211	176
545	211	176
546	212	175
547	212	175
548	212	174
549	212	174
550	213	173
551	213	173
552	213	172
553	214	172
554	214	171
555	214	171
556	214	170
557	215	170
558	215	169
559	215	169
560	216	169
561	216	168
562	216	168
563	216	167
564	217	167
565	217	166
566	217	166
567	218	165
568	218	165
569	218	165
570	219	164
571	219	164
572	219	163
573	220	163
574	220	163
575	220	162
576	221	162
577	221	161
578	221	161
579	222	160
580	222	160
581	222	160
582	223	159
583	223	159
584	223	158
585	224	158
586	224	157
587	224	157
588	225	157
589	225	156
590	226	156
591	226	156
592	226	155
593	227	155
594	228	155
595	228	155
596	228	154
597	229	154
598	229	153
599	229	153
600	230	152
601	230	152
602	230	151
603	231	151
604	231	151
605	231	150
606	232	150
607	232	149
608	233	149
609	234	149
610	234	149
611	234	148
612	235	148
613	235	148
614	236	147
615	236	147
616	237	147
617	237	146
618	237	146
619	238	146
620	238	145
621	238	145
622	239	144
623	239	144
624	239	143
625	240	143
626	240	143
627	240	142
628	241	142
629	241	142
630	242	141
631	242	141
632	243	141
633	243	140
634	243	140
635	244	139
636	244	139
637	244	138
638	245	138
639	245	138
640	245	137
641	245	137
642	246	136
643	246	136
644	246	135
645	247	135
646	247	135
647	247	134
648	248	134
649	248	133
650	248	133
651	249	132
652	249	132
653	249	132
654	250	131
655	250	131
656	250	130
657	250	130
658	251	130
659	251	129
660	251	129
661	252	128
662	252	128
663	252	127
664	253	127
665	253	127
666	254	126
667	254	126
668	254	126
669	254	125
670	255	125
671	255	124
672	255	124
673	256	123
674	256	123
675	257	123
676	257	122
677	257	122
678	258	122
679	258	121
680	258	121
681	259	120
682	259	120
683	259	120
684	260	119
685	260	119
686	260	118
687	261	118
688	261	118
689	261	117
690	262	117
691	262	116
692	262	116
693	263	116
694	263	115
695	263	115
696	263	114
697	264	114
698	264	113
699	264	113
700	265	113
701	265	112
702	265	112
703	265	111
704	266	111
705	266	110
706	266	110
707	267	110
708	267	109
709	268	109
710	268	109
711	268	108
712	269	108
713	269	107
714	269	107
715	270	107
716	270	106
717	270	106
718	271	105
719	271	105
720	271	105
721	271	104
722	272	104
723	272	103
724	273	103
725	273	103
726	273	102
727	274	102
728	274	101
729	274	101
730	274	101
731	275	100
732	276	100
733	276	100
734	276	99
735	277	99
736	277	98
737	277	98
738	277	98
739	278	97
740	278	97
741	278	96
742	279	96
743	279	96
744	279	95
745	279	95
746	280	94
747	280	94
748	280	94
749	281	93
750	281	93
751	281	92
752	281	92
753	282	92
754	282	91
755	282	91
756	283	90
757	283	90
758	283	90
759	283	89
760	284	89
761	284	88
762	284	88
763	285	88
764	285	87
765	285	87
766	285	86
767	286	86
768	286	86
769	286	85
770	287	85
771	287	84
772	287	84
773	287	84
774	288	83
775	288	83
776	288	82
777	288	82
778	289	82
779	289	81
780	289	81
781	290	80
782	290	80
783	290	80
784	291	79
785	291	79
786	291	78
787	292	78
788	292	78
789	292	77
790	292	77
791	293	77
792	293	76
793	293	76
794	294	75
795	294	75
796	294	75
797	295	74
798	295	74
799	295	73
800	296	73
801	296	73
802	296	72
803	296	72
804	297	71
805	297	71
806	297	71
807	297	70
808	298	70
809	298	70
810	298	69
811	299	69
812	299	68
813	299	68
814	299	68
815	300	67
816	300	67
817	300	66
818	301	66
819	301	66
820	301	65
821	301	65
822	302	65
823	302	64
824	302	64
825	303	63
826	303	63
827	303	63
828	303	62
829	304	62
830	304	61
831	304	61
832	305	61
833	305	60
834	305	60
835	306	60
836	306	59
837	306	59
838	307	58
839	307	58
840	307	58
841	307	57
842	308	57
843	308	56
844	308	56
845	308	56
846	309	55
847	309	55
848	309	55
849	310	54
850	310	54
851	310	53
852	310	53
853	311	53
854	311	52
855	311	52
856	312	52
857	312	51
858	312	51
859	312	50
860	313	50
861	313	50
862	313	49
863	314	49
864	314	49
865	314	48
866	315	48
867	315	47
868	315	47
869	315	47
870	316	46
871	316	46
872	316	46
873	316	45
874	317	45
875	317	44
876	317	44
877	318	44
878	318	43
879	318	43
880	318	43
881	319	42
882	319	42
883	319	41
884	319	41
885	320	41
886	320	40
887	320	40
888	320	40
889	321	39
890	321	39
891	321	38
892	322	38
893	322	38
894	322	37
895	322	37
896	323	37
897	323	36
898	323	36
899	323	35
900	324	35
901	324	35
902	324	34
903	324	34
904	325	34
905	325	33
906	325	33
907	326	33
908	326	32
909	326	32
910	326	31
911	327	31
912	327	31
913	327	30
914	328	30
915	328	30
916	328	29
917	329	29
918	329	29
919	330	28
920	330	28
921	330	27
922	331	27
923	331	27
924	332	26
925	332	26
926	332	26
927	333	25
928	333	25
929	333	25
930	334	24
931	334	24
932	335	24
933	335	23
934	335	23
935	336	22
936	336	22
937	336	22
938	337	21
939	337	21
940	337	21
941	337	20
942	338	20
943	338	20
944	339	19
945	339	19
946	339	19
947	339	18
948	340	18
949	340	17
950	340	17
951	341	17
952	341	16
953	341	16
954	342	16
955	342	15
956	342	15
957	342	15
958	343	14
959	343	14
960	343	13
961	343	13
962	344	13
963	344	12
964	344	12
965	345	12
966	345	11
967	345	11
968	345	11
969	346	10
970	346	10
971	346	9
972	347	9
973	347	9
974	347	8
975	347	8
976	348	8
977	348	7
978	348	7
979	349	7
980	349	6
981	349	6
982	350	6
983	350	5
984	350	5
985	350	4
986	351	4
987	351	4
988	351	3
989	352	3
990	352	3
991	352	2
992	352	2
993	353	2
994	353	1
995	353	1
996	354	1
997	354	0
998	354	0
999	354	0
